id;nom;prenom;num_cni
1;JSON tertiary Shoals;Integration Borders relationships;New Zealand background
2;Handmade;bluetooth Ball;Personal Loan Account
3;adapter connect;payment;contextually-based Cambridgeshire
4;Credit Card Account;Markets;redundant integrated Central African Republic
5;Tajikistan Ball;Grove;Squares throughput
6;payment;SDD Portugal B2C;teal
7;Shoes Handmade Concrete Bike;multi-byte web-enabled;cross-media Assistant transmit
8;platforms;El Salvador Colon US Dollar Canadian Dollar solid state;index Parkway Clothing
9;withdrawal;Israel;Ball
10;sensor;redundant Tools;CFP Franc Pants Ergonomic
